Tanggal;"User ID";Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"14-10-2025 13:33";1;;LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-10-2025 13:33";1;;LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-10-2025 13:33";1;ADMIN;LOG_ARCHIVE_AUDIT_DOWNLOAD;"Admin mengunduh file audit log arsip: activity_logs_archive_20260114_131808.csv";"activity_logs_archive #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 13:33";1;ADMIN;LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_131808.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 13:33";1;;LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
"14-10-2025 13:33";1;;RESTORED_LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-10-2025 13:33";1;;RESTORED_LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-10-2025 13:33";1;ADMIN;RESTORED_LOG_ARCHIVE_AUDIT_DOWNLOAD;"Admin mengunduh file audit log arsip: activity_logs_archive_20260114_131808.csv";"activity_logs_archive #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 13:33";1;ADMIN;RESTORED_LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_131808.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-10-2025 13:33";1;;RESTORED_LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
