Tanggal;"Nama User";Role;Aksi;Deskripsi;Subjek;"IP Address";"User Agent"
"12-09-2025 08:07";Administrator;ADMIN;RESTORED_CREATE_USER;"Menambahkan user baru: Algies_444";"users #5";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:07";Administrator;ADMIN;RESTORED_CREATE_TAHUN;"Menambahkan tahun anggaran 2025 dan mengaktifkannya";"tahun_anggaran #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:07";Administrator;ADMIN;RESTORED_CREATE_TAHUN;"Menambahkan tahun anggaran 2021 dan mengaktifkannya";"tahun_anggaran #2";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:07";Administrator;ADMIN;RESTORED_CREATE_TAHUN;"Menambahkan tahun anggaran 2022 dan mengaktifkannya";"tahun_anggaran #3";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:07";Administrator;ADMIN;RESTORED_CREATE_TAHUN;"Menambahkan tahun anggaran 2024 dan mengaktifkannya";"tahun_anggaran #4";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:12";System;STAFF;VIEW_DOKUMEN_ARSIP;"Melihat arsip dokumen kinerja";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:12";System;STAFF;VIEW_PROFILE;"Melihat halaman profil pribadi";"user #5";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:12";System;STAFF;OPEN_PENGAJUAN_KATEGORI;"Membuka form pengajuan kategori dokumen";"kategori_dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:12";System;STAFF;SUBMIT_PENGAJUAN_KATEGORI;"Mengajukan kategori dokumen baru: Anggaran";"kategori_dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 08:12";System;STAFF;OPEN_UPLOAD_DOKUMEN_FORM;"Membuka form upload dokumen kinerja";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
