Tanggal;User;Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"2025-11-06 10:23:07";68;STAFF;VIEW_DOKUMEN_PUBLIC;"Melihat dokumen publik";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"2025-11-06 10:23:07";69;ATASAN;LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";69;ATASAN;VIEW_DOKUMEN_MASUK;"Melihat daftar dokumen masuk untuk direview";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";69;ATASAN;REVIEW_DOKUMEN;"Membuka review dokumen 'Laporan adaaaaaaaaaaaaaa_2'";"dokumen #84";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";69;ATASAN;APPROVE_DOKUMEN;"Menyetujui dokumen 'Laporan adaaaaaaaaaaaaaa_2' dari unit 15 (scope unit)";"dokumen #84";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";69;ATASAN;VIEW_DOKUMEN_MASUK;"Melihat daftar dokumen masuk untuk direview";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";68;STAFF;VIEW_DOKUMEN_LIST;"Melihat daftar dokumen kinerja pribadi";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"2025-11-06 10:23:07";61;ATASAN;LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";61;ATASAN;VIEW_DOKUMEN_MASUK;"Melihat daftar dokumen masuk untuk direview";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";61;ATASAN;REVIEW_DOKUMEN;"Membuka review dokumen 'Laporan adaaaaaaaaaaaaaa_2'";"dokumen #84";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";61;ATASAN;APPROVE_DOKUMEN;"Menyetujui dokumen 'Laporan adaaaaaaaaaaaaaa_2' dari unit 15 (scope unit)";"dokumen #84";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";61;ATASAN;VIEW_DOKUMEN_MASUK;"Melihat daftar dokumen masuk untuk direview";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";61;ATASAN;VIEW_DOKUMEN_UNIT;"Melihat dokumen unit (read-only)";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";61;ATASAN;VIEW_DOKUMEN_PUBLIC;"Melihat dokumen publik";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"2025-11-06 10:23:07";68;STAFF;VIEW_DOKUMEN_LIST;"Melihat daftar dokumen kinerja pribadi";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"2025-11-06 10:23:07";68;STAFF;VIEW_DOKUMEN_UNIT;"Melihat dokumen unit kerja";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
