Tanggal;"Nama User";Role;Aksi;Deskripsi;Subjek;"IP Address";"User Agent"
"05-11-2025 19:58";Administrator;ADMIN;RESTORED_ASSIGN_PIC;"Menetapkan PIC indikator kepada 1 pegawai";"indikator #54";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"05-11-2025 19:58";Administrator;ADMIN;RESTORED_ASSIGN_PIC;"Menetapkan PIC indikator kepada 2 pegawai";"indikator #54";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"05-11-2025 19:58";Administrator;ADMIN;RESTORED_TOGGLE_TRIWULAN;"Mengubah status TW 2 menjadi TERBUKA";"tw_settings #166";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"05-11-2025 19:58";Administrator;ADMIN;RESTORED_TOGGLE_TRIWULAN;"Mengubah status TW 3 menjadi TERBUKA";"tw_settings #167";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"05-11-2025 19:58";Administrator;ADMIN;RESTORED_TOGGLE_TRIWULAN;"Mengubah status TW 2 menjadi TERKUNCI";"tw_settings #166";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"05-11-2025 19:58";Administrator;ADMIN;RESTORED_TOGGLE_TRIWULAN;"Mengubah status TW 3 menjadi TERKUNCI";"tw_settings #167";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"05-11-2025 19:58";Ahmad123@gmail.com;STAFF;RESTORED_LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"05-11-2025 19:58";Tino123;ATASAN;RESTORED_LOGIN;"Login ke sistem";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"05-11-2025 19:58";Ahmad123@gmail.com;STAFF;RESTORED_VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"05-11-2025 19:58";Tino123;ATASAN;RESTORED_VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja (mode atasan)";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0"
"06-11-2025 08:33";Ahmad123@gmail.com;STAFF;VIEW_TASK_LIST;"Melihat daftar tugas pengukuran kinerja yang ditugaskan";"task_pengukuran #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"06-11-2025 08:33";Administrator;ADMIN;VIEW_PENGUKURAN;"Melihat output pengukuran kinerja Triwulan 2 Tahun Anggaran 2099";"pengukuran_kinerja #58";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"06-11-2025 08:33";Administrator;ADMIN;VIEW_DETAIL_PENGUKURAN;"Melihat detail pengukuran indikator ID 54 TW 2 tahun anggaran ID 58";"indikator_kinerja #54";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"06-11-2025 08:33";Administrator;ADMIN;VIEW_PENGUKURAN;"Melihat output pengukuran kinerja Triwulan 2 Tahun Anggaran 2099";"pengukuran_kinerja #58";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
"06-11-2025 08:33";Administrator;ADMIN;VIEW_PENGUKURAN;"Melihat output pengukuran kinerja Triwulan 4 Tahun Anggaran 2099";"pengukuran_kinerja #58";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
