Tanggal;"User ID";Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"12-09-2025 09:31";2;ATASAN;REVIEW_DOKUMEN;"Membuka review dokumen 'laporan anggaran polban2025'";"dokumen #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";5;STAFF;VIEW_DOKUMEN_LIST;"Melihat daftar dokumen kinerja pribadi";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";2;ATASAN;REJECT_DOKUMEN;"Menolak dokumen 'laporan anggaran polban2025'";"dokumen #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";2;ATASAN;VIEW_DOKUMEN_MASUK;"Melihat daftar dokumen masuk untuk direview";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";5;STAFF;VIEW_DOKUMEN_LIST;"Melihat daftar dokumen kinerja pribadi";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";2;ATASAN;RESTORED_REVIEW_DOKUMEN;"Membuka review dokumen 'laporan anggaran polban2025'";"dokumen #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";1;STAFF;RESTORED_VIEW_DOKUMEN_LIST;"Melihat daftar dokumen kinerja pribadi";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";2;ATASAN;RESTORED_REJECT_DOKUMEN;"Menolak dokumen 'laporan anggaran polban2025'";"dokumen #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";2;ATASAN;RESTORED_VIEW_DOKUMEN_MASUK;"Melihat daftar dokumen masuk untuk direview";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:31";1;STAFF;RESTORED_VIEW_DOKUMEN_LIST;"Melihat daftar dokumen kinerja pribadi";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:47";5;STAFF;OPEN_RESUBMIT_DOKUMEN_FORM;"Membuka form revisi dokumen ""laporan anggaran polban2025""";"dokumen #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:47";5;STAFF;RESUBMIT_DOKUMEN;"Mengirim revisi dokumen ""laporan anggaran polban2025""";"dokumen #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:47";5;STAFF;VIEW_DOKUMEN_LIST;"Melihat daftar dokumen kinerja pribadi";"- #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:47";3;ATASAN;VIEW_DOKUMEN_MASUK;"Melihat daftar dokumen masuk untuk direview";"dokumen #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"12-09-2025 09:47";3;ATASAN;REVIEW_DOKUMEN;"Membuka review dokumen 'laporan anggaran polban2025'";"dokumen #1";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
